pi,amnt,payment,merch
3,37.98,1,1
3,371.23,1,7
3,40.4,1,5
3,3.78,1,1
NA,451,0,NA
NA,40,0,NA
1,18,1,5
1,1,1,1
4,69.89,1,5
1,23.21,1,3
10,2,1,7
7,193,1,8
NA,50,0,NA
3,28.17,1,1
1,5,1,5
4,13,1,1
4,30.24,1,4
4,700,1,15
1,1.07,1,2
1,2,1,5
3,24.85,1,4
4,26.74,1,5
1,12.89,1,2
4,190,1,5
6,492.96,1,5
3,12.62,1,5
1,25,1,17
1,4,1,4
6,4,1,10
4,37,1,5
3,6,1,4
1,20,1,16
4,75,1,7
1,20,1,16
4,24,1,5
3,75,1,3
3,106.61,1,8
4,200,1,1
3,11.67,1,4
3,24.57,1,4
3,1.07,1,4
3,134.7,1,7
3,40.13,1,5
4,44.49,1,5
3,10.49,1,4
3,21.68,1,7
3,3.21,1,1
4,46.24,1,5
1,20,1,3
3,1.25,1,21
4,40.5,1,2
3,2.56,1,1
NA,70,0,NA
3,35,1,1
4,59.34,1,4
3,144,1,5
3,84,1,1
1,17.81,1,4
3,13.61,1,2
3,31,1,3
1,7.64,1,5
3,4.5,1,4
1,8,1,5
1,50,1,12
NA,30,0,NA
3,8.5,1,3
3,50,1,10
1,12,1,5
3,15,1,3
3,26.86,1,3
3,53.5,1,1
1,16,1,9
3,56.36,1,5
4,46.53,1,2
4,12.39,1,1
4,294.13,1,5
3,58.66,1,3
3,48.18,1,3
1,30.3,1,3
3,150,1,5
1,20,1,2
4,44.8,1,5
4,54.92,1,1
4,72.02,1,5
4,15,1,15
4,50,1,4
3,20,1,1
4,10,1,2
1,11.43,1,5
4,10.27,1,2
4,9,1,4
NA,45,0,NA
4,234.56,1,8
4,50,1,2
1,110,1,16
NA,20,0,NA
1,2,1,1
3,181.13,1,1
3,278.03,1,7
2,385,1,14
1,20,1,5
3,43,1,4
3,55,1,5
4,79.98,1,1
7,801,1,15
2,1432,1,15
4,18.42,1,1
0,80,1,4
13,90,1,1
3,325,1,5
5,14.69,1,1
1,15,1,1
3,89.36,1,3
3,45,1,5
4,11.26,1,4
1,30.09,1,4
3,65,1,1
2,1325,1,14
4,60.12,1,5
4,30.75,1,4
1,20,1,7
0,110.2,1,5
3,56.96,1,1
4,355,1,1
1,4,1,1
3,40.73,1,2
6,200,1,16
1,5,1,4
1,34.01,1,1
3,45.57,1,3
1,1,1,1
5,8.43,1,5
4,25.23,1,1
3,144.13,1,10
1,15.29,1,1
6,17,1,10
3,43.9,1,3
3,126.36,1,5
4,70.59,1,5
4,9.6,1,7
3,74.45,1,7
3,68.64,1,2
4,5.89,1,1
1,9,1,4
